Hyperparams,Best_Val_Loss,Efficiency,Fake_Rate
lr0.005_bs32_hd32_k24_temp0.1_cd8,2.2557199447724256e-06,0.8855721393034826,0.07476635514018691
lr0.001_bs64_hd128_k64_temp0.1_cd8,1.0343072668409402e-07,0.7960199004975125,0.056074766355140186
lr0.005_bs32_hd32_k48_temp0.1_cd8,9.573228560830395e-07,0.7860696517412935,0.06542056074766354
lr0.005_bs32_hd32_k48_temp0.1_cd128,6.821751571217106e-07,0.8258706467661692,0.056074766355140186
lr0.005_bs32_hd32_k64_temp0.1_cd8,1.1431016568881282e-06,0.8059701492537313,0.06074766355140187
lr0.005_bs32_hd32_k64_temp0.1_cd128,5.129884461830679e-07,0.845771144278607,0.06542056074766354
lr0.005_bs32_hd32_k24_temp0.1_cd128,9.516221896343569e-07,0.7761194029850746,0.07009345794392523
lr0.005_bs32_hd64_k24_temp0.1_cd8,1.3022671738193795e-06,0.8308457711442786,0.056074766355140186
lr0.005_bs32_hd64_k24_temp0.1_cd128,1.113209587722438e-06,0.7810945273631841,0.06074766355140187
lr0.005_bs32_hd64_k48_temp0.1_cd128,5.476702356710528e-07,0.8308457711442786,0.06542056074766354
lr0.005_bs32_hd128_k24_temp0.1_cd8,1.4471911733393379e-06,0.9203980099502488,0.06542056074766354
lr0.005_bs32_hd64_k48_temp0.1_cd8,4.601570233176382e-07,0.8407960199004975,0.0514018691588785
lr0.005_bs32_hd128_k24_temp0.1_cd128,5.940135971630061e-07,0.835820895522388,0.037383177570093455
lr0.005_bs32_hd128_k48_temp0.1_cd8,2.112879253366083e-07,0.835820895522388,0.056074766355140186
lr0.005_bs32_hd64_k64_temp0.1_cd128,4.346255361757625e-07,0.8606965174129353,0.06542056074766354
lr0.005_bs32_hd128_k48_temp0.1_cd128,3.957333221494219e-07,0.7810945273631841,0.07009345794392523
lr0.005_bs64_hd32_k24_temp0.1_cd8,8.628803128662754e-07,0.8159203980099502,0.06074766355140187
lr0.005_bs32_hd128_k64_temp0.1_cd8,2.1263252331986843e-07,0.8109452736318408,0.06074766355140187
lr0.005_bs64_hd32_k48_temp0.1_cd8,1.0717949092139382e-06,0.8109452736318408,0.056074766355140186
lr0.005_bs64_hd32_k24_temp0.1_cd128,2.1167679575554973e-06,0.9154228855721394,0.07009345794392523
lr0.005_bs32_hd128_k64_temp0.1_cd128,3.5822254666104925e-07,0.7860696517412935,0.07009345794392523
lr0.005_bs64_hd32_k48_temp0.1_cd128,6.308193608830223e-07,0.7562189054726368,0.06074766355140187
lr0.005_bs64_hd32_k64_temp0.1_cd128,7.097343114725343e-07,0.8159203980099502,0.056074766355140186
lr0.005_bs64_hd64_k24_temp0.1_cd128,1.268656069105369e-06,0.8805970149253731,0.07009345794392523
lr0.005_bs64_hd64_k24_temp0.1_cd8,1.8040639808753529e-06,0.845771144278607,0.0794392523364486
lr0.005_bs64_hd32_k64_temp0.1_cd8,5.096671902652805e-07,0.7810945273631841,0.056074766355140186
lr0.005_bs64_hd64_k48_temp0.1_cd8,1.046534229265034e-06,0.7810945273631841,0.07009345794392523
lr0.005_bs64_hd64_k48_temp0.1_cd128,4.562014466403497e-07,0.8557213930348259,0.07009345794392523
lr0.005_bs64_hd64_k64_temp0.1_cd128,3.4969353641882843e-07,0.8507462686567164,0.06074766355140187
lr0.005_bs64_hd128_k24_temp0.1_cd128,4.803976754008344e-07,0.8159203980099502,0.056074766355140186
