event_index,cp_id,trackster_id,sim_to_reco_score,reco_to_sim_score,cp_energy,trackster_energy,cp_avg_eta,cp_separation,energy_diff_ratio
1930,1,0,0.6084549070742344,0.18799510689974744,21.682027826085687,12.28104692697525,2.3114,96.5028,-0.4335840251897518
1930,1,1,1.0,0.7807521833743513,21.682027826085687,2.523748490959406,2.3114,96.5028,-0.8836018239989951
1930,1,2,1.0,1.0,21.682027826085687,72.36991907656193,2.3114,96.5028,2.3377837007244104
1931,0,0,0.8049467677505051,0.914169713885371,52.942293615080416,53.35277487896383,1.9776889,16.73285,0.007753371375782024
1931,0,1,0.47242170888650464,0.12975012882830078,52.942293615080416,33.87436355929822,1.9776889,16.73285,-0.36016441211286643
1931,1,0,0.22361916565403178,0.08275250837405057,74.89863843098283,53.35277487896383,2.007176,16.73285,-0.2876669590178593
1931,1,1,1.0,0.8481960663669278,74.89863843098283,33.87436355929822,2.007176,16.73285,-0.5477305827059517
1932,0,0,1.0,1.0,130.45506251882762,47.550333126448095,2.433302,50.066998,-0.6355041175992269
1932,0,1,0.9330882417940275,0.2271959652221694,130.45506251882762,68.27355533093214,2.433302,50.066998,-0.4766507791058034
1932,0,2,1.0,0.9555895008160232,130.45506251882762,2.9296837896108627,2.433302,50.066998,-0.9775425826100996
1932,0,3,1.0,0.9465335843216375,130.45506251882762,3.5353875514119864,2.433302,50.066998,-0.9728995756611458
1932,0,4,1.0,0.9769617033193111,130.45506251882762,1.5114874672144651,2.433302,50.066998,-0.9884137308431681
1932,1,0,0.21406508323725132,0.0856511287617704,67.22435752581805,47.550333126448095,1.8929372,50.066998,-0.29266214097790355
1932,1,1,1.0,1.0,67.22435752581805,68.27355533093214,1.8929372,50.066998,0.015607405466257341
1932,1,2,1.0,1.0,67.22435752581805,2.9296837896108627,1.8929372,50.066998,-0.9564193114305972
1932,1,3,1.0,1.0,67.22435752581805,3.5353875514119864,1.8929372,50.066998,-0.9474091284538615
1932,1,4,1.0,1.0,67.22435752581805,1.5114874672144651,1.8929372,50.066998,-0.9775157766791008
1933,0,0,0.2945801936768415,0.1192780765423682,79.89291909523308,52.300574634224176,2.5299592,64.132256,-0.3453665828396955
1933,0,1,1.0,0.9665931492244766,79.89291909523308,1.3458207957446575,2.5299592,64.132256,-0.9831546924184804
1933,0,2,1.0,0.965023892856792,79.89291909523308,1.4096069931983948,2.5299592,64.132256,-0.9823562962880587
1933,0,3,1.0,1.0,79.89291909523308,48.63783548027277,2.5299592,64.132256,-0.3912121871239173
1933,0,4,1.0,0.9438327061365963,79.89291909523308,2.2761070765554905,2.5299592,64.132256,-0.9715105280626641
1933,1,0,1.0,1.0,59.91489411890507,52.300574634224176,2.5679,64.132256,-0.1270855869255109
1933,1,1,1.0,1.0,59.91489411890507,1.3458207957446575,2.5679,64.132256,-0.9775377923046349
1933,1,2,1.0,1.0,59.91489411890507,1.4096069931983948,2.5679,64.132256,-0.9764731789327552
1933,1,3,0.0537773911464281,0.03542599728716623,59.91489411890507,48.63783548027277,2.5679,64.132256,-0.188217951553953
1933,1,4,1.0,1.0,59.91489411890507,2.2761070765554905,2.5679,64.132256,-0.9620109972649137
1934,0,0,1.0,0.9708205742693906,162.09429645631462,2.3824172988533974,2.2588966,42.73829,-0.985302275583179
1934,0,1,1.0,0.9725686510908627,162.09429645631462,2.2386919409036636,2.2588966,42.73829,-0.9861889530363148
1934,0,2,0.30225720149599494,0.12580630708678672,162.09429645631462,104.60077088698745,2.2588966,42.73829,-0.3546918480553819
1934,0,3,1.0,0.9815481948243219,162.09429645631462,1.5024290904402733,2.2588966,42.73829,-0.9907311415436187
1934,0,4,0.9999974543271579,0.9999906368117394,162.09429645631462,113.25970478262752,2.2588966,42.73829,-0.30127273285552225
1934,0,5,1.0,1.0,162.09429645631462,1.3579254001379013,2.2588966,42.73829,-0.9916226207224764
1934,0,6,1.0,1.0,162.09429645631462,1.7292652428150177,2.2588966,42.73829,-0.9893317329442183
1934,0,7,1.0,0.9363641822109319,162.09429645631462,5.24227137863636,2.2588966,42.73829,-0.9676591250078365
1934,1,0,1.0,1.0,185.99615352414548,2.3824172988533974,2.0223422,42.73829,-0.987191039955866
1934,1,1,1.0,1.0,185.99615352414548,2.2386919409036636,2.0223422,42.73829,-0.9879637729141907
1934,1,2,0.7049477183232769,0.2703133495955095,185.99615352414548,104.60077088698745,2.0223422,42.73829,-0.4376186340143401
1934,1,3,1.0,1.0,185.99615352414548,1.5024290904402733,2.0223422,42.73829,-0.9919222571974037
1934,1,4,0.852107994588125,0.15293125797666587,185.99615352414548,113.25970478262752,2.0223422,42.73829,-0.39106426322991417
1934,1,5,1.0,0.9854516516978554,185.99615352414548,1.3579254001379013,2.0223422,42.73829,-0.9926991748248083
1934,1,6,1.0,0.981491805648301,185.99615352414548,1.7292652428150177,2.0223422,42.73829,-0.9907026827703158
1934,1,7,1.0,1.0,185.99615352414548,5.24227137863636,2.0223422,42.73829,-0.9718151624143355
1935,0,0,1.0,0.31210833341219857,76.47572391107678,33.75129375234246,1.7848748,66.449524,-0.5586665672941227
1935,0,1,1.0,1.0,76.47572391107678,55.46273007243872,1.7848748,66.449524,-0.2747668510215244
1935,0,2,1.0,0.9578606099644221,76.47572391107678,1.6286625564098358,1.7848748,66.449524,-0.9787035352773701
1935,1,0,1.0,1.0,95.70634713582695,33.75129375234246,2.1995764,66.449524,-0.6473452935734507
1935,1,1,0.5266874552168087,0.17681232476305064,95.70634713582695,55.46273007243872,2.1995764,66.449524,-0.42049057630706854
1935,1,2,1.0,1.0,95.70634713582695,1.6286625564098358,2.1995764,66.449524,-0.9829827111247028
1936,0,0,1.0,0.3843789696347687,19.39520078152418,7.37050524353981,1.6703739,77.520996,-0.6199830397960647
1936,0,1,1.0,1.0,19.39520078152418,151.41011380404234,1.6703739,77.520996,6.806576250980357
1936,1,0,1.0,1.0,194.5080249486491,7.37050524353981,2.059062,77.520996,-0.9621069349427323
1936,1,1,0.09567873895210241,0.04909501474910928,194.5080249486491,151.41011380404234,2.059062,77.520996,-0.22157394871489128
1937,0,0,0.9997492103355142,0.9901862542342017,134.0616564732045,116.32249308377504,1.8869361,42.426167,-0.13232093244331242
1937,0,1,1.0,1.0,134.0616564732045,3.6756069883704185,1.8869361,42.426167,-0.9725827124245248
1937,0,2,0.12025165704053872,0.06619999316939218,134.0616564732045,99.5684511512518,1.8869361,42.426167,-0.2572935933314162
1937,0,3,1.0,0.9780451213418061,134.0616564732045,1.4798211008310318,1.8869361,42.426167,-0.988961637952558
1937,1,0,0.832636967992705,0.1080550362909298,173.2839025342837,116.32249308377504,1.9878649,42.426167,-0.32871725888813597
1937,1,1,1.0,0.958026978684089,173.2839025342837,3.6756069883704185,1.9878649,42.426167,-0.9787885260280123
1937,1,2,0.6480705783753762,0.9255018630187676,173.2839025342837,99.5684511512518,1.9878649,42.426167,-0.4254027656634033
1937,1,3,1.0,1.0,173.2839025342837,1.4798211008310318,1.9878649,42.426167,-0.9914601351932373
1938,0,0,1.0,1.0,126.24392918962985,16.576381843537092,2.229162,40.655117,-0.8686956121380074
1938,0,1,0.08292373476696709,0.04987295326040107,126.24392918962985,98.05081528425217,2.229162,40.655117,-0.22332253191382428
1938,1,0,1.0,0.2732366225732248,34.73096701130271,16.576381843537092,2.3391862,40.655117,-0.5227204057363983
1938,1,1,1.0,1.0,34.73096701130271,98.05081528425217,2.3391862,40.655117,1.823152469447306
1939,0,0,0.99999582764574,0.9999997220224146,95.86056116968393,128.90482570789754,2.762718,32.741337,0.344711778598099
1939,0,1,1.0,0.3669702286568141,95.86056116968393,37.7900855243206,2.762718,32.741337,-0.6057806770249559
1939,0,2,1.0,0.9578229982975887,95.86056116968393,2.0433330424129963,2.762718,32.741337,-0.9786843200427747
1939,0,3,1.0,0.8053946425524219,95.86056116968393,9.8316680341959,2.762718,32.741337,-0.8974378209950936
1939,1,0,0.06434831067828604,0.039962326731985895,161.11206011101604,128.90482570789754,2.2718031,32.741337,-0.19990579464334168
1939,1,1,1.0,1.0,161.11206011101604,37.7900855243206,2.2718031,32.741337,-0.7654422300957425
1939,1,2,1.0,1.0,161.11206011101604,2.0433330424129963,2.2718031,32.741337,-0.9873173178903862
1939,1,3,1.0,0.9999999811252808,161.11206011101604,9.8316680341959,2.2718031,32.741337,-0.938976213031965
1941,0,0,0.9999918527217417,0.9999910974889901,105.62399735022336,87.78593591973186,1.9750462,59.365776,-0.16888265808900277
1941,0,1,0.06170335921404395,0.03490604705366831,105.62399735022336,85.93060135375708,1.9750462,59.365776,-0.1864481224959494
1941,1,0,0.1617582004969843,0.06817534206867858,118.804274212569,87.78593591973186,2.342896,59.365776,-0.2610877302052112
1941,1,1,0.9960772212650583,0.9958519757401485,118.804274212569,85.93060135375708,2.342896,59.365776,-0.27670446266935755
1942,0,0,1.0,0.4715881338657374,130.3116692546755,40.843728337436914,2.2484734,32.208424,-0.6865689115100376
1942,0,1,0.05542971870255044,0.26969978527089356,130.3116692546755,105.63558097183704,2.2484734,32.208424,-0.1893620765045422
1942,0,2,1.0,0.9518806438363359,130.3116692546755,3.176971286535263,2.2484734,32.208424,-0.975620208806271
1942,0,3,1.0,0.9999567247774794,130.3116692546755,4.394373387098312,2.2484734,32.208424,-0.9662779748564947
1942,0,4,1.0,1.0,130.3116692546755,39.590795427560806,2.2484734,32.208424,-0.6961838056867626
1942,1,0,1.0,0.9980826672171206,185.82296438142657,40.843728337436914,2.4035156,32.208424,-0.7802008569102381
1942,1,1,0.6093780468313783,0.1862144233920663,185.82296438142657,105.63558097183704,2.4035156,32.208424,-0.43152569262103774
1942,1,2,1.0,0.9660987721990673,185.82296438142657,3.176971286535263,2.4035156,32.208424,-0.9829032364373754
1942,1,3,1.0,0.9532933954204574,185.82296438142657,4.394373387098312,2.4035156,32.208424,-0.9763518281945052
1942,1,4,1.0,0.6192800297006105,185.82296438142657,39.590795427560806,2.4035156,32.208424,-0.7869434730021022
1943,0,0,1.0,1.0,128.20234796404839,35.97354483790696,2.4806352,28.71445,-0.7194002652120305
1943,0,1,0.04106314520322883,0.028388351133057457,128.20234796404839,106.60173559933901,2.4806352,28.71445,-0.16848843026468446
1943,0,2,1.0,0.9290683235603197,128.20234796404839,4.630424797534943,2.4806352,28.71445,-0.9638819033265019
1943,0,3,1.0,0.9784305105189828,128.20234796404839,1.3901667594909668,2.4806352,28.71445,-0.9891564641243481
1943,1,0,0.14863434372202203,0.07459520686462301,49.49043275974691,35.97354483790696,2.1425736,28.71445,-0.2731212310762804
1943,1,1,1.0,1.0,49.49043275974691,106.60173559933901,2.1425736,28.71445,1.1539867334933396
1943,1,2,1.0,1.0,49.49043275974691,4.630424797534943,2.1425736,28.71445,-0.9064379812556195
1943,1,3,1.0,1.0,49.49043275974691,1.3901667594909668,2.1425736,28.71445,-0.9719103939494815
1944,0,0,0.12269460739573358,0.06714634904547424,99.71420483477414,73.87564925383776,1.8727481,78.73729,-0.2591261257485903
1944,0,1,1.0,1.0,99.71420483477414,125.79995444417,1.8727481,78.73729,0.2616051509674053
1944,1,0,1.0,1.0,163.80369323957711,73.87564925383776,1.7702621,78.73729,-0.5489988791291279
1944,1,1,0.0953019923100941,0.05382763142757089,163.80369323957711,125.79995444417,1.7702621,78.73729,-0.23200782622051966
1945,0,0,0.9999810743965821,0.9985819980078707,50.98591080494225,28.596036242321134,2.5597098,9.528627,-0.4391384641195972
1945,0,1,0.941491328248429,0.21222474758265392,50.98591080494225,27.497980197891593,2.5597098,9.528627,-0.4606749244297875
1945,0,2,1.0,0.9077780772522378,50.98591080494225,2.4078664518892765,2.5597098,9.528627,-0.9527738856896938
1945,0,3,1.0,0.9999937669093925,50.98591080494225,1.4087570011615753,2.5597098,9.528627,-0.9723696805858567
1945,1,0,1.0,0.4410457016404815,85.1357737686485,28.596036242321134,2.4991755,9.528627,-0.6641125701161865
1945,1,1,1.0,0.8873601660141002,85.1357737686485,27.497980197891593,2.4991755,9.528627,-0.6770102745220152
1945,1,2,1.0,0.9999992913034497,85.1357737686485,2.4078664518892765,2.4991755,9.528627,-0.971717336375746
1945,1,3,1.0,0.9671794485150792,85.1357737686485,1.4087570011615753,2.4991755,9.528627,-0.9834528196690877
